Location,Bedrooms,Bathrooms,Size,Price/SQ.Ft,Status,Price
Santa Maria-Orcutt,3,3,1800,132.78,Short Sale,239000
Santa Maria-Orcutt,3,2,1218,160.1,Short Sale,195000
Santa Maria-Orcutt,4,3,1877,146.51,Short Sale,275000
Santa Maria-Orcutt,3,2,1080,129.63,Short Sale,140000
Santa Maria-Orcutt,3,2,1296,129.55,Foreclosure,167900
Santa Maria-Orcutt,1,1,900,132.22,Short Sale,119000
Santa Maria-Orcutt,4,2,1482,165.32,Short Sale,245000
Santa Maria-Orcutt,3,2,1726,150.58,Short Sale,259900
Santa Maria-Orcutt,4,2,1367,241.19,Short Sale,329700
Santa Maria-Orcutt,3,2,1040,143.27,Short Sale,149000
Santa Maria-Orcutt,2,1,811,240.44,Short Sale,195000
Santa Maria-Orcutt,3,1,1042,124.66,Short Sale,129900
Santa Maria-Orcutt,3,2,1440,177.71,Foreclosure,255900
Santa Maria-Orcutt,5,2,1064,139.94,Short Sale,148900
Santa Maria-Orcutt,3,2,1472,129.01,Foreclosure,189900
Santa Maria-Orcutt,3,3,1582,147.03,Short Sale,232600
Santa Maria-Orcutt,4,3,1940,115.98,Short Sale,225000
Santa Maria-Orcutt,3,2,1200,134.92,Short Sale,161900
Santa Maria-Orcutt,3,3,2013,124.19,Short Sale,249999
Santa Maria-Orcutt,2,1,1267,164.17,Short Sale,208000
Santa Maria-Orcutt,4,3,2800,142.5,Short Sale,399000
Santa Maria-Orcutt,3,2,2000,192.5,Short Sale,385000
Santa Maria-Orcutt,3,3,1780,151.12,Short Sale,269000
Santa Maria-Orcutt,2,2,1500,19.33,Foreclosure,29000
Santa Maria-Orcutt,4,3,1857,139.47,Short Sale,259000
Santa Maria-Orcutt,4,2,2000,168.5,Short Sale,337000
Santa Maria-Orcutt,3,2,1280,140.63,Short Sale,180000
Santa Maria-Orcutt,3,2,1424,193.12,Short Sale,275000
Santa Maria-Orcutt,3,2,1218,199.1,Foreclosure,242500
Santa Maria-Orcutt,3,3,1300,199.92,Short Sale,259900
Santa Maria-Orcutt,4,3,2014,153.92,Short Sale,310000
Santa Maria-Orcutt,2,2,1541,142.76,Short Sale,220000
Santa Maria-Orcutt,5,4,2400,135,Short Sale,324000
Santa Maria-Orcutt,2,2,1014,73.87,Short Sale,74900
Santa Maria-Orcutt,3,3,3400,221.15,Foreclosure,751900
Santa Maria-Orcutt,3,2,1386,212.84,Short Sale,295000
Santa Maria-Orcutt,3,2,1376,143.17,Short Sale,197000
Santa Maria-Orcutt,3,1,1050,125.71,Short Sale,132000
Santa Maria-Orcutt,5,3,2500,116,Short Sale,290000
Santa Maria-Orcutt,4,3,1963,126.85,Short Sale,249000
Santa Maria-Orcutt,3,3,1541,152.5,Short Sale,235000
Santa Maria-Orcutt,1,1,731,143.64,Short Sale,105000
Santa Maria-Orcutt,3,2,1086,165.74,Short Sale,179999
Santa Maria-Orcutt,3,2,1131,193.63,Short Sale,219000
Santa Maria-Orcutt,2,1,1100,150,Short Sale,165000
Santa Maria-Orcutt,3,2,1398,128.04,Short Sale,179000
Santa Maria-Orcutt,4,2,1860,126.34,Short Sale,235000
Santa Maria-Orcutt,3,2,1269,156.82,Short Sale,199000
Santa Maria-Orcutt,3,2,1275,163.92,Short Sale,209000
Santa Maria-Orcutt,4,2,1460,164.38,Short Sale,240000
Santa Maria-Orcutt,4,2,1750,122.86,Short Sale,215000
Santa Maria-Orcutt,4,4,3050,131.11,Short Sale,399900
Santa Maria-Orcutt,2,2,1082,166.36,Short Sale,180000
Santa Maria-Orcutt,2,2,1100,140,Short Sale,154000
Santa Maria-Orcutt,3,3,2523,173.4,Short Sale,437500
Santa Maria-Orcutt,3,3,2511,119.43,Short Sale,299900
Santa Maria-Orcutt,3,2,1400,177.14,Short Sale,248000
Santa Maria-Orcutt,3,3,1494,139.89,Short Sale,209000
Santa Maria-Orcutt,3,2,1300,142.31,Short Sale,185000
Santa Maria-Orcutt,3,2,1200,137.5,Short Sale,165000
Santa Maria-Orcutt,3,2,1600,109.38,Short Sale,175000
Santa Maria-Orcutt,2,2,1680,46.43,Short Sale,78000
Santa Maria-Orcutt,3,3,2714,236.51,Foreclosure,641900
Santa Maria-Orcutt,2,2,1410,212.06,Short Sale,299000
Santa Maria-Orcutt,3,3,1900,121,Short Sale,229900
Santa Maria-Orcutt,2,3,1200,133.33,Short Sale,160000
Santa Maria-Orcutt,3,3,2400,124.58,Short Sale,299000
Santa Maria-Orcutt,4,2,1460,184.93,Short Sale,270000
Santa Maria-Orcutt,3,3,1800,163.89,Short Sale,295000
Santa Maria-Orcutt,3,2,1110,148.65,Short Sale,165000
Santa Maria-Orcutt,3,2,1075,146.88,Short Sale,157900
Santa Maria-Orcutt,4,2,1650,141.21,Short Sale,233000
Santa Maria-Orcutt,2,2,1200,91.58,Foreclosure,109900
Santa Maria-Orcutt,2,2,1113,188.59,Short Sale,209900
Santa Maria-Orcutt,3,2,1300,137.69,Short Sale,179000
Santa Maria-Orcutt,3,2,1850,70.27,Short Sale,130000
Santa Maria-Orcutt,3,2,1146,178.88,Short Sale,205000
Santa Maria-Orcutt,2,2,1100,164.45,Short Sale,180900
Santa Maria-Orcutt,2,3,1800,55.56,Short Sale,99999
Santa Maria-Orcutt,5,3,3307,134.56,Foreclosure,445000
Santa Maria-Orcutt,4,2,1102,190.56,Short Sale,210000
Santa Maria-Orcutt,3,2,1215,164.53,Short Sale,199900
Santa Maria-Orcutt,3,2,1600,140.63,Short Sale,225000
Santa Maria-Orcutt,3,2,1686,71.17,Short Sale,120000
Santa Maria-Orcutt,4,2,1257,238.66,Short Sale,300000
Santa Maria-Orcutt,3,2,1144,196.68,Short Sale,225000
Santa Maria-Orcutt,4,3,2300,173.48,Short Sale,399000
Santa Maria-Orcutt,3,2,1238,161.47,Short Sale,199900
Santa Maria-Orcutt,2,2,1086,205.25,Short Sale,222900
Santa Maria-Orcutt,4,2,1361,125.28,Short Sale,170500
Santa Maria-Orcutt,3,2,1200,249.92,Short Sale,299900
Santa Maria-Orcutt,2,2,840,78.45,Foreclosure,65900
Santa Maria-Orcutt,4,2,1377,152.51,Short Sale,210000
Santa Maria-Orcutt,3,2,1906,162.12,Short Sale,309000
Santa Maria-Orcutt,3,2,2004,157.19,Short Sale,315000
Santa Maria-Orcutt,3,1,1200,159.25,Foreclosure,191100
Santa Maria-Orcutt,4,2,1400,142.14,Short Sale,199000
Santa Maria-Orcutt,4,3,2209,162.52,Short Sale,359000
Santa Maria-Orcutt,3,2,1316,113.98,Short Sale,150000
Santa Maria-Orcutt,4,3,1857,123.8,Short Sale,229900
Santa Maria-Orcutt,3,2,1400,164.21,Short Sale,229900
Santa Maria-Orcutt,5,3,6098,40.18,Short Sale,245000
Santa Maria-Orcutt,3,2,1300,126.92,Short Sale,165000
Santa Maria-Orcutt,4,3,2248,137.86,Short Sale,309900
Santa Maria-Orcutt,4,2,1500,113.27,Short Sale,169900
Santa Maria-Orcutt,3,2,2000,190.45,Short Sale,380900
Santa Maria-Orcutt,4,3,1939,162.45,Short Sale,315000
Santa Maria-Orcutt,3,2,1312,91.39,Short Sale,119900
Santa Maria-Orcutt,3,2,1275,165.88,Foreclosure,211500
Santa Maria-Orcutt,2,1,854,174.47,Short Sale,149000
Santa Maria-Orcutt,4,3,2100,137.62,Short Sale,289000
Santa Maria-Orcutt,3,2,900,138.89,Short Sale,125000
Santa Maria-Orcutt,3,3,1800,132.78,Short Sale,239000
Santa Maria-Orcutt,3,3,1600,124.94,Short Sale,199900
Santa Maria-Orcutt,4,3,2150,83.67,Short Sale,179900
Santa Maria-Orcutt,3,2,1300,150,Short Sale,195000
Santa Maria-Orcutt,2,3,1700,155.88,Short Sale,265000
Santa Maria-Orcutt,3,3,1530,123.53,Short Sale,189000
Santa Maria-Orcutt,2,2,1088,96.51,Short Sale,105000
Santa Maria-Orcutt,4,4,4000,91.25,Short Sale,365000
Santa Maria-Orcutt,4,2,2100,161.86,Short Sale,339900
Santa Maria-Orcutt,3,3,2340,153.8,Short Sale,359900
Santa Maria-Orcutt,3,2,1080,132.41,Short Sale,143000
Santa Maria-Orcutt,3,2,1196,166.39,Short Sale,199000
Santa Maria-Orcutt,4,2,1856,158.89,Short Sale,294900
Santa Maria-Orcutt,4,3,2367,180.78,Short Sale,427900
Santa Maria-Orcutt,2,2,1130,128.23,Foreclosure,144900
Santa Maria-Orcutt,3,3,2020,170.79,Short Sale,345000
Santa Maria-Orcutt,3,3,1800,125,Short Sale,225000
Santa Maria-Orcutt,3,3,1660,132.47,Short Sale,219900
Santa Maria-Orcutt,4,3,2100,135.71,Short Sale,285000
Santa Maria-Orcutt,3,2,1200,149.92,Foreclosure,179900
Santa Maria-Orcutt,4,3,1768,169.12,Short Sale,299000
Santa Maria-Orcutt,3,2,1776,166.61,Short Sale,295900
Santa Maria-Orcutt,4,3,1467,135.65,Short Sale,199000
Santa Maria-Orcutt,3,3,1950,102.51,Short Sale,199900
Santa Maria-Orcutt,3,2,1288,139.67,Foreclosure,179900
Santa Maria-Orcutt,3,2,1128,148.94,Short Sale,168000
Santa Maria-Orcutt,3,3,1900,142.11,Short Sale,270000
Santa Maria-Orcutt,3,2,1255,191.24,Short Sale,240000
Santa Maria-Orcutt,4,3,2336,100.6,Short Sale,235000
Santa Maria-Orcutt,3,3,1800,149.44,Short Sale,269000
Santa Maria-Orcutt,6,3,2053,165.56,Foreclosure,339900
Santa Maria-Orcutt,4,3,1900,136.32,Short Sale,259000
Santa Maria-Orcutt,3,2,1050,157.14,Short Sale,165000
Santa Maria-Orcutt,3,2,1414,205.02,Foreclosure,289900
Santa Maria-Orcutt,3,2,1200,183.33,Short Sale,220000
Santa Maria-Orcutt,2,2,1150,399.91,Short Sale,459900
Santa Maria-Orcutt,5,3,2481,120.52,Short Sale,299000
Santa Maria-Orcutt,4,3,1600,193.69,Short Sale,309900
Santa Maria-Orcutt,3,2,1516,148.42,Short Sale,225000
Santa Maria-Orcutt,3,2,1080,120.37,Short Sale,130000
Santa Maria-Orcutt,2,1,920,184.77,Short Sale,169990
Santa Maria-Orcutt,3,2,1027,141.19,Foreclosure,145000
Santa Maria-Orcutt,3,2,1253,151.56,Foreclosure,189900
Santa Maria-Orcutt,3,2,1062,234.46,Short Sale,249000
Santa Maria-Orcutt,4,2,1934,95.66,Short Sale,185000
Santa Maria-Orcutt,3,3,1859,131.79,Short Sale,245000
Santa Maria-Orcutt,4,3,2400,120.79,Short Sale,289900
Santa Maria-Orcutt,3,2,1110,157.66,Short Sale,175000
Santa Maria-Orcutt,3,2,1075,129.3,Short Sale,139000
Santa Maria-Orcutt,3,2,1840,216.85,Short Sale,399000
Santa Maria-Orcutt,3,2,1622,215.78,Short Sale,350000
Santa Maria-Orcutt,3,2,1204,137.04,Short Sale,165000
Santa Maria-Orcutt,3,3,1750,120,Short Sale,210000
Santa Maria-Orcutt,3,2,1000,110,Short Sale,110000
Santa Maria-Orcutt,3,2,1114,143.54,Short Sale,159900
Santa Maria-Orcutt,3,2,1100,159,Foreclosure,174900
Santa Maria-Orcutt,3,2,1349,111.19,Short Sale,150000
Santa Maria-Orcutt,4,2,1174,218.06,Short Sale,256000
Santa Maria-Orcutt,3,3,1910,146.6,Short Sale,280000
Santa Maria-Orcutt,3,2,1200,116.67,Short Sale,140000
Santa Maria-Orcutt,3,2,1092,151.01,Foreclosure,164900
Santa Maria-Orcutt,3,2,1275,156.78,Short Sale,199900
Santa Maria-Orcutt,3,2,1712,119.16,Short Sale,204000
Santa Maria-Orcutt,3,2,1100,200,Short Sale,220000
Santa Maria-Orcutt,3,2,1671,137.58,Short Sale,229900
Santa Maria-Orcutt,2,1,775,148.26,Foreclosure,114900
Santa Maria-Orcutt,4,3,2100,127.05,Short Sale,266800
Santa Maria-Orcutt,3,2,1807,138.35,Short Sale,250000
Santa Maria-Orcutt,4,2,1352,162.72,Short Sale,220000
Santa Maria-Orcutt,3,2,1526,104.78,Foreclosure,159900
Santa Maria-Orcutt,3,2,1593,97.3,Short Sale,155000
Santa Maria-Orcutt,3,3,2328,128.87,Foreclosure,300000
Santa Maria-Orcutt,3,2,1008,178.47,Short Sale,179900
Santa Maria-Orcutt,3,2,1340,115.67,Short Sale,155000
Santa Maria-Orcutt,5,4,3039,139.85,Short Sale,425000
Santa Maria-Orcutt,3,2,1733,144.2,Short Sale,249900
Santa Maria-Orcutt,4,3,1947,122.75,Short Sale,239000
Santa Maria-Orcutt,4,3,1927,119.36,Short Sale,230000
Santa Maria-Orcutt,3,2,1292,146.28,Foreclosure,189000
Santa Maria-Orcutt,3,2,1300,130.69,Foreclosure,169900
Santa Maria-Orcutt,3,2,1700,168.53,Short Sale,286500
Santa Maria-Orcutt,3,2,1520,137.5,Short Sale,209000
Santa Maria-Orcutt,2,2,900,105.56,Short Sale,95000
Santa Maria-Orcutt,3,2,1407,142.08,Short Sale,199900
Santa Maria-Orcutt,3,2,1170,158.12,Short Sale,185000
Santa Maria-Orcutt,5,4,2900,106.9,Short Sale,310000
Santa Maria-Orcutt,4,2,1656,144.87,Short Sale,239900
Santa Maria-Orcutt,2,2,980,191.73,Foreclosure,187900
Santa Maria-Orcutt,3,2,1278,203.44,Short Sale,260000
Santa Maria-Orcutt,3,2,1200,145.83,Short Sale,175000
Santa Maria-Orcutt,3,2,1257,147.18,Short Sale,185000
Santa Maria-Orcutt,2,2,1100,127.18,Short Sale,139900
Santa Maria-Orcutt,3,2,1461,119.71,Foreclosure,174900
Santa Maria-Orcutt,3,2,1200,140.83,Short Sale,169000
Santa Maria-Orcutt,3,3,2039,117.7,Short Sale,240000
Santa Maria-Orcutt,4,3,2150,169.3,Short Sale,364000
Santa Maria-Orcutt,4,3,1969,152.31,Foreclosure,299900
Santa Maria-Orcutt,4,3,2357,119.6,Foreclosure,281900
Santa Maria-Orcutt,3,2,1850,118.92,Short Sale,220000
Santa Maria-Orcutt,3,2,1200,112.5,Short Sale,135000
Santa Maria-Orcutt,3,2,1200,149.17,Foreclosure,179000
Santa Maria-Orcutt,3,2,1500,118,Foreclosure,177000
Santa Maria-Orcutt,3,2,1500,118,Regular,177000
Santa Maria-Orcutt,3,2,1400,171.07,Short Sale,239500
Santa Maria-Orcutt,3,2,1460,188.36,Short Sale,275000
Santa Maria-Orcutt,1,1,800,98.13,Foreclosure,78500
Santa Maria-Orcutt,3,3,1520,118.36,Short Sale,179900
Santa Maria-Orcutt,4,3,2150,139.49,Short Sale,299900
Santa Maria-Orcutt,3,2,1022,127.2,Short Sale,130000
Santa Maria-Orcutt,4,2,1435,132.33,Foreclosure,189900
Santa Maria-Orcutt,4,2,1430,139.86,Short Sale,200000
Santa Maria-Orcutt,3,2,1100,99.91,Foreclosure,109900
Santa Maria-Orcutt,3,2,1704,146.42,Short Sale,249500
Santa Maria-Orcutt,4,3,2100,190,Short Sale,399000
Santa Maria-Orcutt,3,2,1972,91.23,Short Sale,179900
Santa Maria-Orcutt,4,3,2100,111.9,Short Sale,235000
Santa Maria-Orcutt,3,2,1280,195.31,Short Sale,250000
Santa Maria-Orcutt,2,2,1034,115.96,Foreclosure,119900
Santa Maria-Orcutt,5,3,2100,195.24,Foreclosure,410000
Santa Maria-Orcutt,4,2,1378,143.4,Foreclosure,197600
Santa Maria-Orcutt,3,2,1316,113.98,Short Sale,150000
Santa Maria-Orcutt,4,3,2300,115.22,Foreclosure,265000
Santa Maria-Orcutt,5,3,1671,119.63,Short Sale,199900
Santa Maria-Orcutt,4,3,2800,124.96,Short Sale,349900
Santa Maria-Orcutt,2,2,900,110,Foreclosure,99000
Santa Ynez,3,2,1746,300.69,Short Sale,525000
Santa Ynez,3,2,2092,380.02,Short Sale,795000
Santa Ynez,5,4,2402,415.9,Short Sale,999000
Santa Ynez,4,2,2032,342.03,Foreclosure,695000
Santa Ynez,4,4,2693,518.01,Short Sale,1395000
Soledad,5,3,2408,91.36,Foreclosure,220000
Soledad,4,2,1353,122.22,Foreclosure,165360
Soledad,4,2,1765,94.5,Foreclosure,166800
Solvang,3,3,1702,208.58,Foreclosure,355000
Solvang,3,3,1500,216.67,Short Sale,325000
Solvang,3,2,1522,262.75,Short Sale,399900
Solvang,3,2,1600,311.88,Short Sale,499000
Solvang,4,2,1809,307.9,Short Sale,557000
Solvang,3,2,1204,331.4,Short Sale,399000
Solvang,3,2,1576,266.43,Foreclosure,419900
Solvang,2,3,1400,189.21,Foreclosure,264900
Templeton,4,5,5500,209.09,Short Sale,1150000
Templeton,3,2,1852,296.98,Short Sale,550000
Templeton,4,3,6500,215.23,Foreclosure,1399000
Templeton,4,4,3100,257.74,Short Sale,799000
Templeton,2,3,2100,228.1,Short Sale,479000
Templeton,4,2,1797,169.73,Short Sale,305000
Templeton,4,3,3008,298.87,Short Sale,899000
Templeton,3,2,1999,229.61,Short Sale,459000
Templeton,3,4,3123,248.09,Foreclosure,774800
Templeton,2,1,952,341.39,Short Sale,325000
Templeton,3,2,1850,337.84,Foreclosure,625000
,,,,,,
,,,,,,
